x,CMH,ZHH,MRC
0,,277.48599999999999,
1,301.25999999999999,,
2,359.39499999999998,248.38900000000001,
3,322.721,235.245,148.20599999999999
4,316.78899999999999,,153.07599999999999
5,350.58800000000002,246.77099999999999,126.124
6,312.25400000000002,232.065,136.81700000000001
7,322.084,255.22499999999999,136.57599999999999
8,341.24200000000002,251.38300000000001,136.06200000000001
9,301.80000000000001,222.15000000000001,142.565
10,333.30099999999999,254.61000000000001,135.97399999999999
11,351.358,245.346,124.71299999999999
12,304.654,225.25999999999999,127.604
13,336.62700000000001,277.36599999999999,143.358
14,321.03699999999998,269.85500000000002,144.916
15,313.00299999999999,280.98200000000003,115.164
16,373.79899999999998,301.78899999999999,140.32499999999999
17,309.91399999999999,257.68700000000001,137.10900000000001
18,332.37900000000002,278.82100000000003,103.292
19,344.96499999999997,280.553,132.751
20,323.30399999999997,263.77800000000002,109.85599999999999
21,343.50099999999998,,131.97499999999999
22,351.423,287.53800000000001,132.53999999999999
23,338.93400000000003,295.28699999999998,140.971
24,306.26499999999999,286.03899999999999,121.95
25,348.85199999999998,303.23099999999999,128.54400000000001
26,327.995,246.61699999999999,
27,357.47500000000002,296.88600000000002,117.68899999999999
28,333.45299999999997,196.67699999999999,129.51300000000001
29,315.95299999999997,,117.902
30,301.11799999999999,,134.274
31,304.834,278.536,128.02199999999999
32,308.14600000000002,306.012,138.54499999999999
33,,291.94099999999997,117.806
34,,280.46499999999997,136.53800000000001
35,,282.29899999999998,137.89400000000001
36,313.06599999999997,268.95600000000002,135.52199999999999
37,333.483,266.32499999999999,156.79599999999999
38,318.63499999999999,295.69499999999999,131.94900000000001
39,319.05000000000001,296.858,140.58600000000001
40,342.11399999999998,311.596,150.58500000000001
41,322.63099999999997,272.89499999999998,133.94499999999999
42,inf,308.63499999999999,141.82499999999999
43,302.23399999999998,293.36900000000003,141.56999999999999
