x,CMH,ZHH,MRC
0,3.806,6.9660000000000002,0.57799999999999996
1,3.6099999999999999,,0.63500000000000001
2,4.7309999999999999,5.9119999999999999,0.61199999999999999
3,4.2469999999999999,7.0700000000000003,0.58099999999999996
4,4.2430000000000003,,0.74199999999999999
5,4.101,7.5510000000000002,0.56599999999999995
6,4.2199999999999998,8.1829999999999998,0.62
7,3.9910000000000001,7.569,0.67300000000000004
8,3.7970000000000002,5.3330000000000002,0.63400000000000001
9,3.6600000000000001,6.0949999999999998,0.626
10,4.1109999999999998,6.367,0.624
11,4.2309999999999999,10.252000000000001,0.60199999999999998
12,3.8959999999999999,7.1799999999999997,0.67900000000000005
13,4.2649999999999997,6.3330000000000002,0.58599999999999997
14,4.383,5.5670000000000002,0.57499999999999996
15,4.4710000000000001,6.5,1.3640000000000001
16,4.6269999999999998,5.3700000000000001,0.753
17,4.3419999999999996,5.3630000000000004,0.60399999999999998
18,4.4749999999999996,6.468,0.70799999999999996
19,,,0.67300000000000004
