x,CMH,ZHH,MRC
0,17185.072463768116,,
1,16309.376811594202,20734.144927536232,
2,17400.536231884056,17629.0,
3,17910.63768115942,19640.884057971016,1778.8695652173913
4,16566.579710144928,19533.333333333332,1778.1884057971015
5,15615.27536231884,18116.536231884056,1793.6666666666667
6,16063.811594202898,19368.391304347828,1797.2898550724638
7,16100.289855072464,20611.956521739132,1773.8260869565217
8,15893.95652173913,13936.565217391304,1775.5507246376812
9,16376.579710144928,14246.376811594202,1779.1159420289855
10,15962.304347826086,14383.463768115942,1773.2608695652175
11,17576.434782608696,13878.333333333334,1731.376811594203
12,15922.927536231884,13601.68115942029,1743.1159420289855
13,16789.739130434784,13592.31884057971,1731.231884057971
14,16523.63768115942,13665.753623188406,1712.6811594202898
15,16957.159420289856,14072.231884057972,1722.2463768115942
16,17420.08695652174,,1760.1014492753623
17,16844.695652173912,13944.623188405798,1807.8695652173913
18,17395.202898550724,13791.08695652174,1793.7391304347825
19,17834.840579710144,13812.492753623188,1789.9565217391305
20,16426.971014492752,14279.231884057972,1776.7246376811595
21,16280.449275362318,13813.144927536232,
22,16267.40579710145,13843.304347826086,1806.6376811594203
23,17390.869565217392,13617.768115942028,1826.1884057971015
24,17478.0,,1854.1739130434783
25,14507.826086956522,,1847.3188405797102
26,15860.608695652174,13976.463768115942,1843.0579710144928
27,16437.782608695652,13888.507246376812,1883.6376811594203
28,,13737.202898550724,1872.0
29,,13659.753623188406,1892.2898550724638
30,,13332.304347826086,1824.8260869565217
31,16201.217391304348,,1867.4492753623188
32,17090.739130434784,13441.507246376812,1847.8695652173913
33,17933.507246376812,13765.91304347826,1876.0289855072465
34,16104.188405797102,14018.666666666666,1845.0579710144928
35,17505.246376811596,13828.521739130434,1834.231884057971
36,17040.942028985508,13949.144927536232,1831.9710144927535
37,17181.652173913044,13891.536231884058,1838.9855072463768
38,17825.333333333332,13685.304347826086,1819.3623188405797
39,17444.565217391304,14143.91304347826,1835.4492753623188
40,15248.36231884058,13876.072463768116,1849.0434782608695
41,,13877.202898550724,1844.9420289855072
42,15685.985507246376,13686.869565217392,1816.4927536231885
43,17089.666666666668,14273.072463768116,nan
