x,CMH,ZHH,MRC
0,10515.971014492754,9629.971014492754,
1,10461.31884057971,9360.898550724638,
2,9906.101449275362,9882.753623188406,
3,10678.391304347826,8517.971014492754,1207.1304347826087
4,10942.0,9399.463768115942,1212.608695652174
5,10368.376811594202,9330.68115942029,1192.5652173913043
6,9732.391304347826,8934.2318840579719,1223.536231884058
7,9953.391304347826,9131.8405797101441,1224.2753623188405
8,9988.463768115942,9104.1304347826081,1192.7246376811595
9,9932.579710144928,7609.695652173913,1228.4347826086957
10,9856.2028985507241,7852.391304347826,1230.4347826086957
11,9931.608695652174,7828.04347826087,1209.7971014492753
12,10706.115942028986,7478.0,1166.7971014492753
13,9726.36231884058,7456.057971014493,1215.7101449275362
14,10424.188405797102,7385.275362318841,1188.6376811594203
15,10210.68115942029,7385.695652173913,1175.5507246376812
16,10275.492753623188,7472.188405797101,1158.6376811594203
17,10713.217391304348,,1206.0434782608695
18,10237.579710144928,7712.869565217391,1263.8260869565217
19,10625.884057971014,7540.536231884058,1243.0289855072465
20,10899.550724637682,7531.797101449275,1246.0
21,10015.0,7695.753623188406,1221.0869565217392
22,9986.5217391304341,7582.869565217391,
23,10129.391304347826,7496.405797101449,1255.6521739130435
24,10655.710144927536,7422.768115942029,1279.7536231884058
25,10651.246376811594,,1296.2608695652175
26,9182.144927536232,,1287.2898550724638
27,9729.4492753623181,7673.811594202899,1289.376811594203
28,9904.1594202898559,7553.826086956522,1318.8260869565217
29,,7512.260869565217,1300.0434782608695
30,,7315.04347826087,1309.2463768115942
31,,7376.898550724638,1292.4057971014493
32,9887.217391304348,,1289.4782608695652
33,10375.521739130434,7307.391304347826,1284.5942028985507
34,10702.478260869566,7482.797101449275,1302.1304347826087
35,9867.6231884057979,7593.652173913043,1283.2173913043478
36,10596.101449275362,7467.478260869565,1285.2608695652175
37,10275.028985507246,7685.608695652174,1284.4347826086957
38,10401.072463768116,7725.449275362319,1289.4492753623188
39,10745.898550724638,7482.36231884058,1275.5217391304348
40,10535.014492753624,7677.913043478261,1285.536231884058
41,9393.144927536232,7639.0,1289.4347826086957
42,,7638.608695652174,1292.144927536232
43,9812.6231884057979,,1274.3623188405797
