x,CMH,ZHH,MRC
0,6897.7449999999999,6095.4210000000003,
1,7158.3729999999996,,751.01800000000003
2,7355.866,6239.2219999999998,750.73599999999999
3,7341.5550000000003,6142.5389999999998,743.28899999999999
4,7067.6090000000004,,764.32299999999998
5,6960.0770000000002,6007.0720000000001,746.399
6,6606.1310000000003,6190.8389999999999,758.53599999999994
7,7057.8969999999999,5664.1419999999998,752.24400000000003
8,7217.1469999999999,6047.7420000000002,772.61000000000001
9,7155.0240000000003,5830.6369999999997,779.41499999999996
10,7119.8890000000001,5788.9769999999999,771.99099999999999
11,7303.3850000000002,5930.9200000000001,718.18799999999999
12,7027.9099999999999,6334.585,780.82600000000002
13,7158.8469999999998,5608.8710000000001,734.69299999999998
14,7015.0950000000003,5632.3400000000001,718.02700000000004
15,7054.0280000000002,5554.4049999999997,756.57000000000005
16,7215.4139999999998,5613.317,727.45299999999997
17,6778.04,5334.0569999999998,728.65899999999999
18,7059.5889999999999,5273.7920000000004,703.87599999999998
19,7047.5659999999998,5445.5510000000004,692.74699999999996
20,,5464.4870000000001,732.15300000000002
